NU_ANO_CENSO,CO_IES,CO_CURSO,NO_CURSO,NO_REGIAO,CO_REGIAO,NO_UF,SG_UF,CO_UF
2021,165,1385721,Letras - Português E Inglês,,,,,
2021,165,1313028,Logística,,,,,
2021,165,1313029,Marketing,,,,,
2021,165,1591582,Marketing Digital,,,,,
2021,165,1591581,Matemática,,,,,
2021,165,1591310,Medicina Veterinária,,,,,
2021,165,1313030,Negócios Imobiliários,,,,,
2021,165,1591105,Nutrição,,,,,
2021,165,1313000,Pedagogia,,,,,
2021,165,1130320,Processos Gerenciais,,,,,
2021,165,1591588,Psicopedagogia,,,,,
2021,165,1591591,Segurança No Trabalho,,,,,
2021,165,1591589,Serviço Social,,,,,
2021,165,1591586,"Serviços Jurídicos, Cartorários E Notariais",,,,,
